iter	Passed	Remaining
0	4	440
1	8	401
2	11	382
3	13	328
4	15	301
5	18	283
6	20	271
7	22	258
8	24	250
9	27	247
10	29	238
11	31	230
12	33	221
13	34	213
14	36	206
15	37	199
16	39	192
17	40	186
18	42	180
19	43	174
20	44	167
21	45	162
22	46	157
23	47	151
24	48	146
25	49	142
26	51	137
27	51	133
28	53	129
29	53	125
30	55	122
31	55	118
32	56	115
33	57	112
34	58	109
35	59	105
36	60	103
37	61	100
38	62	97
39	63	95
40	64	92
41	64	89
42	65	87
43	66	85
44	67	83
45	68	80
46	69	78
47	70	76
48	71	74
49	72	72
50	73	70
51	74	68
52	75	67
53	76	65
54	77	63
55	78	61
56	79	59
57	79	57
58	80	56
59	81	54
60	82	52
61	83	51
62	84	49
63	85	48
64	86	46
65	87	44
66	88	43
67	89	41
68	89	40
69	90	38
70	91	37
71	92	36
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	98	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	20
83	103	19
84	104	18
85	105	17
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	112	7
94	113	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
